Block,Time,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/06022042/L_NR_2012_07,NR/16072024/31072024/NR/16072024/31072024/717758,NR/01072024/31072024/R2,NR/30092023/31122025/SH-07,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/31102037/L_NR_2019_11,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/30092023/26122029/SH-06,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19
1,00:00-00:15,0.000000,14.700000,0.000000,38.580000,87.010000,48.230000,24.120000,30.870000,13.170000,8.830000,72.340000,30.870000,96.460000,272.740000,0.000000,6.490000,100.490000,0.000000,30.280000,96.460000,12.420000,15.140000,115.310000,0.000000,0.000000,9.690000,208.350000,0,42.61,0,0,26.67,0,0,0,27.34,0,0,0,80,0,0,26.66,65,0,0,65,0

2,00:15-00:30,0.000000,14.700000,0.000000,38.580000,87.010000,48.230000,24.120000,30.870000,13.170000,8.830000,72.340000,30.870000,96.460000,272.740000,0.000000,6.490000,100.490000,0.000000,30.280000,96.460000,12.420000,15.140000,115.310000,0.000000,0.000000,9.690000,208.350000,0,42.41,0,0,26.67,0,0,0,27.34,0,0,0,80,0,0,26.66,67.33,0,0,67.33,0

3,00:30-00:45,0.000000,14.700000,0.000000,38.580000,87.010000,48.230000,24.120000,30.870000,13.170000,8.830000,72.340000,30.870000,96.460000,272.740000,0.000000,6.490000,100.490000,0.000000,30.280000,96.460000,12.420000,15.140000,115.310000,0.000000,0.000000,9.690000,208.350000,0,42.61,0,0,27.17,0,0,0,27.34,0,0,0,81.5,0,0,27.16,69.67,0,0,69.67,0

4,00:45-01:00,0.000000,14.700000,0.000000,38.580000,87.010000,48.230000,24.120000,30.870000,13.170000,8.830000,72.340000,30.870000,96.460000,272.740000,0.000000,6.490000,100.490000,0.000000,30.280000,96.460000,12.420000,15.140000,115.310000,0.000000,0.000000,9.690000,208.350000,0,42.21,0,0,27.83,0,0,0,27.34,0,0,0,83.5,0,0,27.84,71.33,0,0,71.33,0

5,01:00-01:15,0.000000,14.700000,0.000000,38.580000,87.010000,48.230000,24.120000,30.870000,13.170000,8.830000,72.340000,30.870000,96.460000,272.740000,0.000000,6.310000,100.490000,0.000000,30.280000,96.460000,12.420000,15.140000,115.310000,0.000000,0.000000,9.310000,208.350000,0,42.41,0,0,24.83,0,0,0,27.34,0,0,0,74.5,0,0,24.84,70.33,0,0,70.33,0

